shop,menu,format,base,milk,liquid,flavor,toppings,tops
The Alley,Hojicha Peach Oolong Latte,oolong tea,milk,1,peach,fruit,0,unspecified
Tea and Milk,Hibiscus Flower Teamonade,drink,drink,0,flower,flower,0,unspecified
PaTea,Hazelnut Milk Tea,tea,tea,1,0,milk,hazelnut,other
Tea Magic,Hazelnut Milk Tea,tea,tea,1,0,milk,hazelnut,other
FIFTYLAN Washington Square Park,Hazelnut Ceylon Black Tea Latte,black tea,milk,1,0,milk,hazelnut,other
Bubbly Tea,Guava Bubbly,drink,drink,0,guava,fruit,0,unspecified
FIFTYLAN Washington Square Park,Green Milk Tea,green tea,tea,1,0,milk,0,unspecified
Moge Tee,Green Milk Tea,green tea,tea,1,0,milk,0,unspecified
Gong Cha,Green Milk Tea,green tea,tea,1,0,milk,0,unspecified
Mr. Wish,Green Milk Tea,tea,tea,1,0,milk,0,unspecified
Gong Cha,Green Milk Foam Tea,green tea,tea,1,0,milk,milk foam,milk foam
Ten Ren's Tea Time,Green Bean Shredded Ice,shredded ice,other,0,green bean,undefined,green bean,other
Debutea,Grape Wizard,drink,drink,0,grape,fruit,undefined toppings,unspecified
M Tea,Grape Tea,tea,tea,0,grape,fruit,0,unspecified
Debutea,Grape Nebula,drink,drink,0,grape,fruit,undefined toppings,unspecified
Tea and Milk,Grandma's Masala Chai,drink,drink,0,0,undefined,0,unspecified
Teazzi Tea Shop,Golden Oolong Tea,Oolong tea,tea,0,0,undefined,0,unspecified
Tiger Sugar,Golden Oolong Tea,Oolong tea,tea,0,0,undefined,0,unspecified
M Tea,Golden Jade Oolong Tea,Oolong tea,tea,0,0,undefined,0,unspecified
Ten Ren's Tea Time,Genmai Tea,tea,tea,0,0,undefined,0,unspecified
Tea and Milk,Genmai (Japanese Roased Brown Rice) Rooibos,drink,drink,0,0,undefined,0,unspecified
ViVi Bubble Tea,Fruit Tea Aloe,tea,tea,0,fruit,fruit,aloe,other
Tea Magic,Fresh Tropical Mixed Fruit Tea,tea,tea,0,fruit,fruit,0,unspecified
Shiny Tea,Fresh Jade Green Milk Tea,green tea,tea,1,0,milk,0,unspecified
Debutea,Fresh Black Tea Latte,black tea,milk,1,black tea,milk,0,unspecified
Tea Magic,French Vanilla Milk Tea,tea,tea,1,vanilla,other,0,unspecified
Teazzi Tea Shop,Four Seasons Tea,green tea,tea,0,0,undefined,0,unspecified
Song Tea,Four Season Oolong,oolong tea,tea,0,green tea,undefined,0,unspecified
